corp_code,corp_name_kr,corp_name_en,stock_code,year,rcept_date,stock_price,shares_outstanding,scale
00103626,한솔피엔에스,"HANSOL PNS CO.,LTD.",010420,2023,20240312,1209.0,20493012.0,small
00103626,한솔피엔에스,"HANSOL PNS CO.,LTD.",010420,2024,20250312,1191.0,20493012.0,small
00163716,한창,HANCHANG CORPORATION,005110,2023,20240328,1254.0,18606407.0,small
00163716,한창,HANCHANG CORPORATION,005110,2024,20250407,1254.0,18606407.0,small
00118044,동원수산,"DONGWON FISHERIES CO.,LTD",030720,2023,20240314,6580.0,4653805.0,small
00118044,동원수산,"DONGWON FISHERIES CO.,LTD",030720,2024,20250404,5000.0,4653805.0,small
00132628,성문전자,"SUNGMOON ELECTRONICS CO.,LTD",014910,2023,20240315,1499.0,22460985.0,small
00132628,성문전자,"SUNGMOON ELECTRONICS CO.,LTD",014910,2024,20250320,1111.0,22460985.0,small
00104786,미래아이앤지,"MiraeING.Co.,Ltd.",007120,2023,20240320,1240.0,27883584.0,small
00104786,미래아이앤지,"MiraeING.Co.,Ltd.",007120,2024,20250318,793.0,28878608.0,small
00143262,우진아이엔에스,"WOOJIN I&S Co.,Ltd",010400,2023,20240321,4965.0,7622000.0,small
00143262,우진아이엔에스,"WOOJIN I&S Co.,Ltd",010400,2024,20250321,2810.0,7622000.0,small
00409672,티비에이치글로벌,"TBH GLOBAL CO.,LTD",084870,2023,20240321,1638.0,20856819.0,small
00409672,티비에이치글로벌,"TBH GLOBAL CO.,LTD",084870,2024,20250320,1133.0,20856819.0,small
00107677,비비안,VIVIEN CORPORATION,002070,2023,20240321,1165.0,29793990.0,small
00107677,비비안,VIVIEN CORPORATION,002070,2024,20250321,778.0,31123777.0,small
00143314,에이엔피,AUTOMOBILE & PCB,015260,2023,20240322,1250.0,45116894.0,small
00143314,에이엔피,AUTOMOBILE & PCB,015260,2024,20250321,480.0,45116894.0,small
00118451,동일제강,"DONG IL STEEL MFG CO., LTD",002690,2023,20240321,1892.0,20300360.0,small
00118451,동일제강,"DONG IL STEEL MFG CO., LTD",002690,2024,20250424,1362.0,20300360.0,small
00112378,KR모터스,"KR MOTORS CO., LTD",000040,2023,20240321,1110.0,29132868.0,small
00112378,KR모터스,"KR MOTORS CO., LTD",000040,2024,20250319,385.0,60132868.0,small
00133618,세기상사,"THE CENTURY CO.,LTD",002420,2023,20240315,6090.0,5558848.0,small
00133618,세기상사,"THE CENTURY CO.,LTD",002420,2024,20250318,5070.0,5558848.0,small
00154055,태원물산,"TAEWONMULSAN CO.,LTD",001420,2023,20240320,4240.0,7600000.0,small
00154055,태원물산,"TAEWONMULSAN CO.,LTD",001420,2024,20250320,3340.0,7600000.0,small
00112970,대한방직,"TAIHAN TEXTILE CO.,LTD",001070,2023,20240314,7360.0,5300000.0,small
00112970,대한방직,"TAIHAN TEXTILE CO.,LTD",001070,2024,20250314,5260.0,5300000.0,small
00661847,화인베스틸,"FINEBESTEEL CO., LTD",133820,2023,20240320,1401.0,29918118.0,small
00661847,화인베스틸,"FINEBESTEEL CO., LTD",133820,2024,20250321,1004.0,30826118.0,small
00153621,참엔지니어링,"Charm Engineering Co.,Ltd.",009310,2023,20240318,521.0,84867419.0,small
00153621,참엔지니어링,"Charm Engineering Co.,Ltd.",009310,2024,20250318,309.0,84867419.0,small
00168331,온타이드,ONTIDE Corp.,005320,2023,20240320,619.0,66606397.0,small
00168331,온타이드,ONTIDE Corp.,005320,2024,20250320,444.0,67522221.0,small
00145686,이화산업,"RIFA CO., LTD",000760,2023,20240321,15990.0,2800000.0,small
00145686,이화산업,"RIFA CO., LTD",000760,2024,20250320,10520.0,2800000.0,small
00143794,원림,WONLIM CORPORATION,005820,2023,20240326,18560.0,2297970.0,small
00143794,원림,WONLIM CORPORATION,005820,2024,20250321,13960.0,2297970.0,small
00210856,코아스,"KOAS CO., LTD",071950,2023,20240321,525.0,30907210.0,small
00210856,코아스,"KOAS CO., LTD",071950,2024,20250320,9670.0,3290720.0,small
